Great news! Glad to see you home, @SenatorDole.https://twitter.com/dolefoundation/status/916056137887305728 …	
It was an honor to spend time today w/ WWII, Vietnam & Korean War veterans visiting D.C. from Kansas & share my thanks for their service.pic.twitter.com/F15CEbCn9I	
Kansas' economy relies on our ability to export products we grow and manufacture around the world. Strong trade agreements help create jobs.pic.twitter.com/czUztQy7Kl	
No place like home.pic.twitter.com/IzvghEACLG	
Political theater now stopping VA Committee from hearing @SecShulkin answer Qs on future of veterans' care & #Choice. Hurts veterans.	#Choice
Today we mark the 10-year anniversary of the @GreensburgKS tornado – we honor the lives lost and we celebrate the spirit of the recovery.pic.twitter.com/gwQzN7uj5B	
Last weekend’s snow storms remind us all of the challenges faced each day by farmers & ranchers.pic.twitter.com/ps1S1nwe5B	
Funding for @NIH is absolutely essential to investing in the next generation of Americans.pic.twitter.com/IwZpzT9sQB	
Monday is the first work day for @dfamilk at new headquarters in Kansas. Welcome to KS & thanks for your work on behalf of dairy farmers!	
Convened a hearing yesterday to examine the disturbing trend of #veteran suicide. If you or a vet you know needs help, call 1-800-273-8255.pic.twitter.com/XctTKkBhs0	#veteran
Trade with Mexico & Canada is crucial to the success of American farmers. Renegotiating #NAFTA must not threaten access to these markets.	#NAFTA
Looks pretty peaceful this evening but we live in a troubled world. Briefed today on North Korea by the White House.pic.twitter.com/B7bPz9u90F	
What a difference ten years can make! Glad to be (re-)acquainted with Jared Austin from McPherson in D.C. to advocate for @pheasants4ever.pic.twitter.com/WbhLIE0zFT	
Proud to support this bill to assist service-disabled #veterans—it shows our gratitude for protecting our freedoms.http://bit.ly/2piqUaB 	#veterans
Witnessed the swearing in of new @USDA Secretary Sonny Perdue just a few minutes ago at the @USSupremeCourt.pic.twitter.com/tkkjX0HZ8k	
Just confirmed by the Senate, new @USDA Sec. Sonny Perdue has got a lot to tackle. I look forward to working with him on Kansas ag issues.pic.twitter.com/me4XFT5b3I	
If you're experiencing difficulty w/ a federal issue and would like help, come speak with a member of my staff at the times/locations below:pic.twitter.com/XRKMjpY3p0	
. @POTUS just signed my bill w/ @SenJohnMcCain @SenatorIsakson @SenatorTester to improve veteran healthcare into law.http://fxn.ws/2pRAWg3 	
. @GiveSevenDays kicks off tonight. Mindy Corporon & Jim LaManno's message of kindness should be heard. #betheripplehttp://bit.ly/2oIvgag 	#betheripplehttp
He is risen. Wishing you and your family a blessed Easter.pic.twitter.com/hZdDnryXID	
Fewer empty stomachs = greater worldwide stability. The proposed cuts to food aid are a mistake.http://cnn.it/2pBHwH8 	
Looks like it was a great time at Wichita's Support Law Enforcement parade this morning. Community togetherness.pic.twitter.com/WBOGxwTDdl	
Congratulations to Judge Gorsuch on his confirmation as an Associate Justice of the Supreme Court of the United States. #SCOTUSpic.twitter.com/FeKBXt9kBw	#SCOTUSpic
These exceptional @KUSenate & @kstateSGA student leaders represent the future of our state―I enjoyed meeting with them while they're in DC.pic.twitter.com/iY7aVvMYUU	
Good news: My bill w/ @SenJohnMcCain @SenatorIsakson & @SenatorTester to extend access to healthcare for veterans heads to @POTUS’ desk.https://twitter.com/CraigCaplan/status/849694396043939841 …	
Our nation’s veterans deserve access to quality healthcare wherever they call home.pic.twitter.com/wF7w5ImIM4	
Today’s the day the Boys in Blue are back! Let’s go, @Royals. #OpeningDay #RaisedRoyalpic.twitter.com/5B6IHMa9de	#OpeningDay #RaisedRoyalpic
Despite severe weather in parts of Kansas tonight, after a dry spell and devastating fires out west, we’re grateful for the rain. #kswx	#kswx
Gone but not forgotten. Paid my respects to Army Spc. Thomas Moffitt. Native son of Wichita, paid the ultimate sacrifice in Afghanistan.pic.twitter.com/5o6R54Kh5M	
. @marineband & @theusarmyband were truly inspiring at the @whitehouse last night. pic.twitter.com/MVxeZQljrP	
Prior to our meeting, I knew Neil Gorsuch is an undeniably qualified nominee. I now know he is fully prepared to serve on the Supreme Court.pic.twitter.com/53bPprZYya	
If we’re committed to putting America first, we must lift the trade embargo with #Cuba.https://twitter.com/vicenews/status/846735696538718208 …	#Cuba
Not your typical spring break – impressed to see young Kansans helping to build fences burned out by the wildfires.http://bit.ly/2o3nKYB 	
The House bill was not the answer, but Obamacare is still failing too many. We must keep our promise & continue working to provide relief.	
Special moment in the @uscapitol Rotunda today with the Great Bend High School A Capella Choir singing “God Bless the USA!”pic.twitter.com/EIXZO44pMR	
Honored to have @SenatorDole in the office today to speak with my staff. What a Kansas inspiration for us all!pic.twitter.com/uFtNGtoDZl	
. @USDA is making funds available to those devastated by the recent wildfires—I’ll continue to push for assistance. http://bit.ly/2njcRR5 	
The average age of our nation's farmers is 58 and trending upward. Our future depends on engagement of young American farmers & ranchers.	
Proud to co-chair the Senate Down Syndrome Caucus on @WorldDSDay & every day to promote awareness, education, research & opportunity #WDSD17pic.twitter.com/bTXzd7JIe9	#WDSD17pic
Congrats to @AmericanLegion on 98 years of #veterans serving veterans. Kansans have the utmost gratitude & respect for their hard work.	#veterans
At a time when our farmers and ranchers need new markets, it’s time we change course & lift the Cuban embargo. http://bit.ly/2n1Wbhd pic.twitter.com/zVsdpEthTX	
I'm following up to make certain eligible resources are in place to help those whose livelihoods were damaged or destroyed.https://twitter.com/KansasEmergency/status/840985523661524992 …	
Congrats, Tel Wittmer of @WeAreHolton & Jack Campbell of Mill Valley HS―Kansas’ delegates to @SenateYouth #USSYP2017. A real accomplishment!pic.twitter.com/kjfzsE0NLv	#USSYP2017
Although it’s not a big, national news story, Kansas is ablaze. I shared one Clark Co. family's story today. @Pearceoutdoors @Kansasdotcompic.twitter.com/W4EzncM11u	
One of many Kansas women worth recognizing as we kickoff #WomensHistoryMonthhttps://twitter.com/kansashistory/status/837329272125677569 …	#WomensHistoryMonthhttps
Proud to see a Kansan recognized for his incredible drone film capturing wheat harvest. http://bit.ly/2lsd4Nn pic.twitter.com/mV1ASqV4rE	
Appreciated hearing from Kansas veterans ( @VFWHQ & @AmericanLegion), @ksbroadcasters, @KsMedSoc, postmasters & co. commissioners yesterday.pic.twitter.com/3QRvtNRWg1	
Appreciated hearing @POTUS acknowledge attack in #Olathe. This senseless act, motivated by prejudice, will not be tolerated #jointaddress	#Olathe #jointaddress
#WOTUS badly missed its mark. Rolling it back is a victory for rural America.https://www.agri-pulse.com/articles/8968-trump-orders-a-redo-on-wotus …	#WOTUS
I reiterated a sentiment best expressed by Alok Madasani: This tragedy doesn't reflect the true spirit of Kansas, the Midwest & the USA.https://twitter.com/IndianEmbassyUS/status/836313425747849218 …	
Met w/ German, French, British officials this week & reiterated US commitment to alliance against threats worldwide. http://bit.ly/2lDxnJh pic.twitter.com/UIq4d61V4Z	
I strongly condemn violence of any kind, especially if it is motivated by prejudice & xenophobia―my statement on the tragedy in Olathe:pic.twitter.com/4Nn079Q3Wv	
Thanks to DefSec Fallon & his staff in London. Cooperation w/ our allies is critical to keeping us safe against the complex threats we face.https://twitter.com/DefenceHQ/status/834467659651698692 …	
As we celebrate #BlackHistoryMonth, I encourage Kansans to learn more about Nicodemus. http://bit.ly/2kCuPt1 pic.twitter.com/kklzE3kt6X	#BlackHistoryMonth
Joining the Blue Valley community in praying for Coach Driskell, his family, and his students.https://twitter.com/KCTV5/status/831527676322131973 …	
Just joined all 99 of my colleagues to confirm Dr. David Shulkin as our 9th @DeptVetAffairs Secretary. My statement here:pic.twitter.com/OiLeKWJvsx	
Kansas producers know these challenges all too well. Look forward to working w/ Gov. Perdue to defend rural America.http://on.wsj.com/2l1NArE 	
Wishing @CoachBillSnyder a swift, speedy recovery – see you on the sidelines soon! #SnyderStrong #EMAWpic.twitter.com/wOoyZEgWc4	#SnyderStrong #EMAWpic
Joint-service exercises are critical to keeping Kansans & Americans safe—great to have @FlyKSLN involved in this important training.https://twitter.com/1150KSAL/status/687265743579185152 …	
Praying for @WichitaPolice’s Officer Brian Arterburn, and joined @kfdinews in wishing him a full and speedy recovery.pic.twitter.com/IZFUDkBo5A	
#NationalPrayerBreakfast—a time to put politics aside & pray. Proud two Kansans had a part in its founding.http://time.com/4202899/national-prayer-breakfast-history/ …	#NationalPrayerBreakfast
Met with Sonny Perdue today to hear more about how he would lead the @USDA. Believe he understands challenges facing rural America.pic.twitter.com/34nqsLmrR6	
Due to high call volumes, if you're attempting to contact me & are unable to get through, please email me via:https://www.moran.senate.gov/public/index.cfm/e-mail-jerry …	
Judge Gorsuch is an impressive & well-qualified #SCOTUS nominee who has already received bipartisan support in the Senate.	#SCOTUS
Far-reaching national security policy should have input from Congress. Full statement:http://bit.ly/2kK9yC8 	
Happy #KansasDay! http://bit.ly/2kgqzmc pic.twitter.com/S7uBnn6OZc	#KansasDay
Wonderful to have so many Kansans in DC for #MarchForLife—I will continue working in Congress to defend the fundamental right to life.https://twitter.com/AbigailCBN/status/825022355449733120 …	#MarchForLife
Well, a yr after we passed the #ABLE Act, Rachel officially opened the 1st ABLE account in Kansas this morning w/ her mom & dad by her side.pic.twitter.com/2bkHkRljz6	#ABLE
When I met @RachelsPinkHous in 2012, she told me I needed to get the ABLE Act passed so she could live in a pink house when she grows up.pic.twitter.com/iLy1BbwIYg	
. @RepLynnJenkins is the consummate Kansan & an exceptional congresswoman—whatever's next, our state is better off because of her leadership.pic.twitter.com/XZaBfKHx0q	
Welcomed a group of middle school students from St. John Catholic School in Lawrence to the Capitol yesterday.pic.twitter.com/eb7E7PFhd4	
Parsons native @AjitPaiFCC is an excellent choice to lead @FCC. Capable, talented leader uniquely qualified to advocate for rural America.	
Early morning sunrise from I-70 in Wabaunsee County on my way back to work in Washington.pic.twitter.com/rZzMfwjERE	
Swiftly confirming the secretaries in charge of our national security is critical to keeping us safe as we face threats at home and abroad.	
Foreign adversaries looking to challenge America will be rethinking their plans with Gens. Mattis & Kelly at the helm.	
The peaceful transition of power further reminds us of the strength of our democracy—honored to be there to represent Kansans. #Inaugurationpic.twitter.com/7WPXcPLo0P	#Inaugurationpic
Great to welcome the @FightingFirst Mounted Color Guard to the @uscapitol—they'll represent Kansans with distinction at the Inaugural Paradepic.twitter.com/NAu4sqVHjH	
. @MilitaryVetera's @MelissaJarboe is an incredible advocate for #veterans—glad she could make the trip to DC.http://bit.ly/2iD2lTR 	#veterans
Kicked off the morning talking jobs and American competitiveness on @SquawkCNBC with @JoeSquawk and @BeckyQuick.pic.twitter.com/aMovnIAwte	
The Senate’s vote tonight gives us the opportunity to begin repairing #Obamacare’s damage. My full statement here:http://bit.ly/2jlXEKy 	#Obamacare
Back at the Capitol for week two of the 115th Congress – hard at work on behalf of Kansans. pic.twitter.com/hPNviTD7zy	
I took a few moments after being sworn in to another term in the Senate this week to reflect on this responsibility Kansans have given me.pic.twitter.com/1HiFR3klSA	
Thanks, @SenPatRoberts – Look forward to continue working alongside you & our colleagues to make good things happen for Kansans.	
Let the game begin. @KStateMBBpic.twitter.com/fUIFpK6oaP	
I'll be introducing a resolution to stand with #Israel & disapprove of U.N. action on first day of #115th Congress.http://bit.ly/2iqBXvz 	#Israel #115th
Good luck to @KStateFB in the @TexasBowl tonight going for their fifth win this season vs. a team from Texas. Go Cats!	
Did you get a drone for Christmas? @KStatePolytech has a list of essential tips to help you fly safely. http://bit.ly/2htMt3Q 	
Wishing my Jewish friends in Kansas & around the globe a joyous #Hanukkah starting tonight at sundown.	#Hanukkah
I will work to make certain the UN is not used as a tool against America, its allies, or its interests. http://bit.ly/2hhhmIv 	
The president's decision to abstain today in the UN vote further chills relations w/ #Israel & may lead to increased violence in the country	#Israel
Chase County Courthouse has decked the halls.pic.twitter.com/xbzcf02o4V	
The Manhattan High School Pops Choir really got us in the holiday spirit at yesterday’s rotary club meeting!pic.twitter.com/t9zVKiJLCE	
Proud the Senate passed my bill to ensure people who violate the trust of our nation's vets are not rewarded w/ unjustly guaranteed benefitspic.twitter.com/D5pJUDmcXp	
I was on @SquawkCNBC this morning w/ @andrewrsorkin & @joesquawk to discuss the state of American competitiveness and the @CompeteNow Forum.pic.twitter.com/5BZleu5fSm	
#CuresNow passes Senate with bipartisan support & heads to the president’s desk. It will give hope to millions of Kansans and Americans.https://twitter.com/JerryMoran/status/804460817303404545 …	#CuresNow
Today, we remember the attack on #PearlHarbor 75 years ago. May God bless our WWII veterans & all who served or serve in our Armed Forces.	#PearlHarbor
After nominating him to the @NavalAcademy, I broke good news to Topeka-native Dawson Podlena over the weekend. #USNApic.twitter.com/yRY4hTURyk	#USNApic
Visited with Kansas midshipmen at the @NavalAcademy yesterday – this group reminds me that our nation’s future is bright.pic.twitter.com/NnYrm5Uapp	
#KansasCommonSense—Catching up w/ Mike Pence & Reince Priebus, advocating for #CURESNow & supporting disabled vets. http://bit.ly/2g7pZBQ pic.twitter.com/N0DC676wYK	#KansasCommonSense #CURESNow
Quite an experience leading the first @USCapitol Dome tour since its restoration. Here's a behind-the-scenes look: http://bit.ly/2gVllII pic.twitter.com/psAdSvsK56	
The 21st Century Cures Act has the power to improve the well-being of millions of Americans & Kansans. #curesnow #path2curespic.twitter.com/BY9n1npGdp	#curesnow #path2curespic
As the Middle East faces continued instability, it is critical that we reaffirm sanctions authorities against #Iran.http://nyti.ms/2fX8szo 	#Iran
The Senate just passed my #BOTS legislation to help level the online playing field for consumers. I'm hopeful the House will act quickly.	#BOTS
I supported the #ECHOAct today to help expand rural Kansans' access to specialty health care.http://bit.ly/2gGpfnZ 	#ECHOAct
This week’s #KansasCommonSense – Thanksgiving, highlighting pioneers in Kansas City, @FortLeavenworth honors.http://bit.ly/2gGhCiv 	#KansasCommonSense
Today is #SmallBizSat—great day to remember the impact your investment at local stores makes in communities across Kansas. @ShopSmallpic.twitter.com/uu9GLHPp7B	#SmallBizSat
Praying for #Neodesha, Airosol employees & their families—I've been in touch with Maj. Gen. Tafanelli to prioritize usable drinking water.	#Neodesha
This week’s #KansasCommonSense–standing up against abuse at the VA, helping Gold Star families & disabled vets http://bit.ly/2gypky3 pic.twitter.com/Nc3cFC8xqp	#KansasCommonSense
November is Nat'l Family #Caregivers Month – let’s honor those who work tirelessly to care for loved ones. #nfcmonthhttp://bit.ly/2gfdINk 	#Caregivers #nfcmonthhttp
Just finished @candice_millard’s most recent book. Impressed by her distinct gift for storytelling. A great Kansas author.pic.twitter.com/bdGHlbJdnC	
Let’s #WageHope this World Pancreatic Cancer Day by committing to support research, education and screening. @PanCAN @PurpleOurWorld #WPCDpic.twitter.com/SNQ16sRytX	#WageHope #WPCDpic
Fallen & MIA servicemembers’ families’ stories ought to be a part of @librarycongress’ Veterans History Project.http://bit.ly/2gidwk6 	
This week’s #KansasCommonSense–commemorating Veterans Day, election results & opportunities in a new Congress. http://www.moran.senate.gov/public/index.cfm/newsletter?ID=BBDA09A7-C5E4-4E01-8D32-60C8417324C4 …pic.twitter.com/6HPvscr6C9	#KansasCommonSense
Congrats to @KState and Gen. Myers on making it official. Your leadership and the continued success of #KState will help our state prosper.https://twitter.com/wibw/status/798573776707452928 …	#KState
Philanthropic efforts like Bob Lane's make Kansas an even better place to call home—his support for @RMHC helps manyhttp://www.kansas.com/news/local/article114421438.html …	
I joined @1350kman on Friday to thank our vets, chat about the elections & my recent visits in Kansas. Listen here:https://soundcloud.com/jerrymoran/sen-moran-speaks-with-kmans-cathy-dawes …	
241 years of service & pride – happy birthday, @USMC. #SemperFi #USMCBirthday	#SemperFi #USMCBirthday
The #VA must be trustworthy & accountable to the men & women it serves. I will press for answers regarding this potential breach.https://twitter.com/hutchpost/status/796438910255722496 …	#VA
Visited with juniors and seniors at Stockton High School today. Thanks to Superintendent Shelly Swayne for arranging my visit.pic.twitter.com/YfctJN9OJ5	
Went back to school yesterday to surprise @KState’s Dr. Barry Flinchbaugh & his ag policy class. http://bit.ly/2eaXody  @kstatecollegianpic.twitter.com/AbKHTn0FEU	
Kansans support their neighbors during tough times. Always special to read stories like this one. http://bit.ly/2ekdzJc https://twitter.com/beccytanner/status/792866042993188864 …	
Proud that the Kansas tradition of excellence in air mobility missions for the @usairforce will continue at @22ARW with the #KC46A!https://twitter.com/AirMobilityCmd/status/793165730120359936 …	#KC46A
#KansasCommonSense newsletter: Joining Gen. Myers at @KState to talk ag research, G&W Foods groundbreaking + more. http://bit.ly/2fdNtVQ pic.twitter.com/dWfcruiyTi	#KansasCommonSense
Congratulations to the winner of today's Marine Corps Marathon in Washington, D.C.—Samuel Kosgei of Junction City.http://www.nbcwashington.com/news/local/Marine-Corps-Marathon-Winners-399220261.html …	
Saw today the Olathe Advanced Technical Center where local students receive training for high-skilled jobs after graduation. @olatheschoolspic.twitter.com/IPvpmQTEzB	
