Staff Sgt. Black, Staff Sgt. Johnson, and Staff Sgt. Wright's sacrifices will not be forgotten.	
Thank you @CustomsBorder for allowing us to visit the border in Texas and discuss our nation's border security.pic.twitter.com/I5X2OjaTDq	
Welcome to Twitter, @SecShulkin! I look forward to working with you to deliver timely and quality #healthcare to our nation's #veterans.pic.twitter.com/ahiRIjsbPN	#healthcare #veterans
I joined @SenatorBaldwin to introduce the BRAVE Act, a major win for both #veterans and employers who hire them.pic.twitter.com/ymexnCVpkL	#veterans
My 30th #Valentines Day with my sweet wife Susan. She is the love of my life and the loving mother of our beautiful children. I love you!pic.twitter.com/xO15nkClks	#Valentines
Proud to support Dr. Shulkin's confirmation as @DeptVetAffairs Secretary. I look forward to working with him in my role on the VA committee.pic.twitter.com/WjW5muePPc	
Welcome home, @82ndCAB @82ndABNDiv!https://twitter.com/82ndCAB/status/830836591455252481 …	
I had a productive meeting with Judge Gorsuch, who is going to make a great #SCOTUS justice. We look forward to having him confirmed soon.pic.twitter.com/DVhre7cUad	#SCOTUS
Attorney General Sessions will follow the rule of law, be accessible & address the organizational & accountability issues plaguing the DOJ.	
I introduced bipartisan legislation with Sen Klobuchar to help #veterans who have been exposed to toxic burn pits. http://bit.ly/2kmE1Cs pic.twitter.com/yDKeJWc3L7	#veterans
Joined a bipartisan group of senators to send a letter to @POTUS calling for greater investment in Alzheimer’s research. #EndALZpic.twitter.com/PsbwuNfMAZ	#EndALZpic
10 Places to Explore African-American History in North Carolina via @VisitNC http://bit.ly/2kU1D1Z  #BlackHistoryMonth	#BlackHistoryMonth
Americans didn't vote for a Republican mandate, they voted for a results mandate. They’re tired of the gridlock in Washington. #bipartisanpic.twitter.com/eRZ4Yog2pO	#bipartisanpic
Congress needs #bipartisanship to produce results: https://www.youtube.com/watch?v=Q6x60OOPJtQ …pic.twitter.com/RGGcIuMk2x	#bipartisanship
I join my fellow North Carolinians to reflect on the African-American history and heritage in our state and country. #BlackHistoryMonthpic.twitter.com/E35NcbdOI9	#BlackHistoryMonthpic
Perfect description of Neil Gorsuch, @SenSchumer. It’s why you voted for him before. He’ll be a great SCOTUS justice.https://twitter.com/SenSchumer/status/826604084773916673 …	
Judge Neil Gorsuch is an incredibly qualified and mainstream choice to serve on the #SCOTUS.pic.twitter.com/O3rGzDQhqJ	#SCOTUS
My North Carolina offices are accepting applications for spring internships which start immediately. Apply online: http://tillis.senate.gov pic.twitter.com/eJvu8f7oxF	
I joined Senators Shaheen​ & McCaskill to send a letter to SecDef Mattis following POTUS' immigration exec order. http://bit.ly/2knddVL pic.twitter.com/R6kbsjcwUR	
North Carolinians: if you or anyone you know has a green card and is stranded at an airport, reach out to my constituent services team.pic.twitter.com/Mwtbk0CWJE	
It's clear implementation of the executive order has caused mass confusion & unintended consequences, particularly for green card holders.	
Strengthening our vetting process for people coming into this country is a matter of national security.	
My statement on the immigration executive order. #ncpolpic.twitter.com/qbjAvu9qme	#ncpolpic
It is a sad day as we say goodbye to fmr Rep. Ruth Samuelson. Please continue to lift her family up in prayer. Photo: NCGA Brims & Bows 2013pic.twitter.com/yhVEcdyzy2	
Susan and I are praying for former Senator @kayhagan as she continues her recovery.https://twitter.com/TWCNewsTriad/status/824678481569214464 …	
Proud to vote to confirm @nikkihaley as our new @UN Ambassador.	
Today has truly been a great day. This morning I met our newest office puppy, and this afternoon I met our newest office baby. #TeamTillispic.twitter.com/LL8SJCXnO1	#TeamTillispic
#KeystoneXL pipeline would support thousands of good-paying jobs across a range of industries & be done in environmentally conscious manner.	#KeystoneXL
Heartbroken to learn of the passing of my dear friend Ruth Samuelson. Ruth was a wonderful wife, mother & leader. We will miss her so much.	
Glad to see @POTUS sign EO giving agencies flexibility to ease ObamaCare's burden on hardworking families & employers.	
Shameful that rioters are destroying fellow citizens' property & displaying open contempt for our tradition of a peaceful transfer of power.	
Congratulations to @realDonaldTrump on becoming the 45th President of the United States of America. #Inauguration #Inauguration2017pic.twitter.com/A6kNcyCGPK	#Inauguration #Inauguration2017pic
Susan & I have enjoyed welcoming North Carolinians to my office in #DC for #inauguration. #ncpolpic.twitter.com/aLpUz5vH2v – at Dirksen Senate Building	#DC #inauguration #ncpolpic
. @POTUS' commutation of Manning sentence is the ultimate act of disrespect to our intelligence community & our allies. #ManningIsATraitor	#ManningIsATraitor
Great work, @OrlandoPolice. RIP Lt Clayton, your service and sacrifice will never be forgotten.https://twitter.com/OrlandoPolice/status/821561585709805568 …	
Read my op-ed in @theobserver: Voters didn’t give Republicans a mandate http://www.charlotteobserver.com/opinion/op-ed/article126941659.html …pic.twitter.com/EkWLC98q5Z	
Grateful to spend #MLKDay doing a service project @HighPointU with @UAHPU packing blessing bags for homeless veterans.pic.twitter.com/fMb9VJsORR	#MLKDay
On #MLKDay, we celebrate the life & legacy of a man who changed history by leading the fight for freedom & opportunity for all Americans.pic.twitter.com/lzbrRciVB7	#MLKDay
Justice for eugenics victims wouldn't be possible w/o Rep Womble's activism. Susan presented him a copy of my bill that was signed into law.pic.twitter.com/VGLu6Z1Zau	
Thank you, @VP Biden, for your dedicated service to our nation and leadership of the Cancer Moonshot initiative. I wish you all the best!	
Republicans are committed to fulfilling the promise of affordable health care for every American by repealing and replacing #Obamacare.pic.twitter.com/cz14j6L3yz	#Obamacare
This morning, the Senate passed the #Obamacare repeal resolution that allows the Senate to begin the repeal and replace process.	#Obamacare
Dr. Shulkin has demonstrated his commitment to reforming the #VA. He will work to ensure veterans receive timely and quality health care.pic.twitter.com/Z2QrVGoMcm	#VA
Deadline extended: @fema registration for Hurricane Matthew disaster assistance has been extended to Jan. 23 http://www.disasterassistance.gov pic.twitter.com/skxcrRKPAy	
My op-ed with Senator @ChrisCoons on #CJReform: America's criminal justice system is broken http://cnn.it/2jmBUgZ  via @CNN @CNNOpinionpic.twitter.com/Mm0iI8Ilz6	#CJReform
Saddened to hear the news out of #Orlando. Another tragic reminder of the dangers our law enforcement officers face every single day.	#Orlando
RT to #thankacop on National Law Enforcement Day. #SupportBluepic.twitter.com/z3VTNY4Bvg	#thankacop #SupportBluepic
I will be speaking to @MariaBartiromo on @SundayFutures at 10:10am about cyber security and the upcoming nomination hearings.Tune in!	
Thank you to the dedicated crews @NCDOT for their hard work to clear the roadways. #ncwxhttps://twitter.com/ncdot/status/817770499644260356 …	#ncwxhttps
A snowy Saturday in North Carolina. Stay warm and be safe! Follow @NCEmergency & @NCDOT for updates. #ncwxpic.twitter.com/hZeLwNQd0Y	#ncwxpic
Please continue to keep Senator @KayHagan and her family in your thoughts and prayers. Susan and I are praying she makes a full recovery.https://twitter.com/NewsandRecord/status/817482720712474628 …	
Praying for the families of the victims and everyone at the #FortLauderdale airport. #FLL	#FortLauderdale #FLL
Met with #SecDef nominee General James #Mattis. I look forward to his confirmation and working together on behalf of our nation's military.pic.twitter.com/A9WCfuDdup	#SecDef #Mattis
2 yrs ago today, I had the honor of being sworn in as NC's US Senator. I look forward to continuing to work on behalf of each of you. #ncpolhttps://twitter.com/SenThomTillis/status/552571031588966401 …	#ncpolhttps
Americans deserve access to quality, affordable health care. The Obamacare status quo is unsustainable. #RepealObamacarepic.twitter.com/dI3USktfr2	#RepealObamacarepic
The election was not a Republican mandate. The election was a results mandate.https://twitter.com/politico/status/816596311256535040 …	
Congrats to my friend @SenatorBurr on being sworn in for his third term. I look forward to continuing to serve North Carolinians together.https://twitter.com/SenatorBurr/status/816325022570659840 …	
I joined @SenGillibrand to ensure military families have access to autism therapy for their children. http://bit.ly/SupportMilFams pic.twitter.com/RlDijY3Xff	
My statement in response to Secretary of State John Kerry’s speech regarding Israel.pic.twitter.com/3B7aDBYjr7	
Congrats @WakeFB on winning the @MilitaryBowl! #GoDeacs #MilitaryBowlhttps://twitter.com/militarybowl/status/813897798286540800 …	#GoDeacs #MilitaryBowlhttps
Instead of continuing bipartisan tradition of supporting Israel, the President turned his back at a time they needed our help the most.	
President Obama's refusal to stand up for Israel at the U.N. was nothing short of shameful.	
I believe we need laws that are tough on crime and smart on rehabilitation. Pursuing #CJReform(s) will be one of my top priorities.pic.twitter.com/iD6bGtZ3lG	#CJReform
Congratulations, @PackFootball, on winning the @IndyBowl! #BowlSTATEmenthttps://twitter.com/packfootball/status/813561502850551808 …	#BowlSTATEmenthttps
Susan and I wish you a Merry Christmas and Happy Holidays!pic.twitter.com/5ByGU8bbyG	
Spent time with @24thMEU during pre-deployment training aboard USS Bataan & USS Mesa Verde. Wishing each Sailor & Marine a safe deployment.pic.twitter.com/1k7xNYOStC	
I had the honor of greeting our nation's troops on their way home for the holidays during @USOofNC's Operation Exodus @CLTAirport.pic.twitter.com/r5PvvIIkba	
RT to wish the @NationalGuard a Happy 380th Birthday! #WeAreGuard	#WeAreGuard
Please join Susan and me in praying for @KayHagan and her family. Wishing her a speedy recovery back to good health.http://www.theledger.com/news/20161209/kay-hagan-former-us-senator-and-lakeland-resident-in-hospital …	
John Glenn: Astronaut, U.S. Senator & Marine. I'm grateful for his lifetime of service to our nation, and send my condolences to his family.	
Yesterday I had the opportunity to deliver gifts to @USMC and @ToysForTots_USA. Glad my office could participate this holiday season!pic.twitter.com/n1jy4pQCKA	
It was great meeting with Senator-elect @KamalaHarris yesterday. I look forward to working with her in the 115th Congress!pic.twitter.com/BEBr2cDALY	
The Hurricane Matthew recovery assistance for North Carolina includes more than $300 million in funding. http://bit.ly/HurricaneAssistanceCR …pic.twitter.com/1GVCplRqLs	
North Carolina’s Hurricane Matthew recovery effort is set to get big boost from Congress http://buff.ly/2gc4bEZ  via @theobserverpic.twitter.com/v7CcAVCSg7	
On the 75th anniversary of the attacks on Pearl Harbor, take a moment to remember the lives lost that day and all who served in WWII.pic.twitter.com/7E3FUFUsUB	
My statement on the North Carolina Gubernatorial Election: http://bit.ly/GubernatorialElection …pic.twitter.com/fA1nregrH0	
Congratulations to North Carolina native and @EastCarolina alum @HV3_Golf on winning the @PGAofAustralia Championship!https://twitter.com/PGATOUR/status/805287470850043904 …	
General Mattis is an outstanding choice for Secretary of Defense. Few living military leaders are as widely regarded and highly respected.	
I voted to extend sanctions on #Iran until 2026, protecting the American people from one of the world's largest state sponsors of terrorism.	#Iran
Susan and I are praying for the @raleighpolice officer who was shot responding to a burglary call and hope for a speedy recovery.https://twitter.com/ABC11_WTVD/status/804096604386885632 …	
Praying for the family of the Tacoma officer killed in the line of duty. We can't forget the risks officers take everyday to keep us safe.pic.twitter.com/JqAOUsBrrv	
It's time to tell the far right & far left to get productive or get out of the way. [regarding criminal justice reform] #WPJustice @postlive	#WPJustice
My deepest condolences to @elonuniversity and the family of President Emeritus J. Earl Danieley. https://twitter.com/elonuniversity/status/803720307731206145 …	
Saddened to hear about the passing of @SONC_BeAFan and @SpecialOlympics athlete Billy Quick. A true inspiration when I met him in February.pic.twitter.com/F71GBPr4NJ	
My deepest condolences go out to @NCCU and the family of Dr. Debra Saunders-White. Saddened by the news of her passing.https://twitter.com/nccu/status/802615727593230336 …	
Fidel Castro was a brutal, oppressive dictator. I hope the years ahead will bring freedom to the people of Cuba.	
Tomorrow is #SmallBizSaturday. While shopping for the holidays, get out and support small businesses in your community. #ShopSmallpic.twitter.com/mtVJa0FOfG	#SmallBizSaturday #ShopSmallpic
Saddened by this news. Join me in praying for all of our U.S. troops serving across the world. #SupportOurTroopshttps://twitter.com/foxnews/status/801913286019125249 …	#SupportOurTroopshttps
Susan and I wish you a Happy Thanksgiving. As you enjoy your day, please keep the victims of Hurricane Matthew in your thoughts and prayers.pic.twitter.com/LT5cl2Mv7U	
While traveling during one of the busiest travel weeks of the year, let me know your experience with @TSA using #TSAgood #TSAbad.pic.twitter.com/pppGKgmnQt	#TSAgood #TSAbad
Happy 227th Birthday to the greatest state in the nation, North Carolina! http://buff.ly/2fl3D2s pic.twitter.com/Xchg8ru2nT	
My thoughts and prayers go out to the families and communities affected by these horrific acts of violence against our law enforcement.https://twitter.com/CBSNews/status/800658636817178624 …	
Today’s #natladoptionday! Let’s raise awareness for the 108,000 plus kids in the US needing to find safe, loving homes! #adoptiongivespic.twitter.com/8Ab6AYZErz	#natladoptionday #adoptiongivespic
I received letters from students at Draper Elementary ( @RCS_NC) saying they needed a new flag, so I surprised them by delivering one today!pic.twitter.com/mMPeoiErjX	
My statement on the selection of @SenatorSessions for #AttorneyGeneral: http://bit.ly/2gnvReK pic.twitter.com/qCXgPUU491	#AttorneyGeneral
I want to make sure the victims of #HurricaneMatthew know they have people working for them. http://bit.ly/2fM3YcR  #NCRecovers #MatthewNCpic.twitter.com/DlkqzmPIKq	#HurricaneMatthew #NCRecovers #MatthewNCpic
Only 8% of Americans with #pancreaticcancer survive 5+ yrs. I'm raising awareness by wearing purple today. #WageHope #WPCDpic.twitter.com/bAxsY4XPyL	#pancreaticcancer #WageHope #WPCDpic
Speaking on the Senate floor about the devastating human and economic toll of #MatthewNC. Watch live: http://www.c-span.org/networks/?channel=c-span-2 …	#MatthewNC
Proud that North Carolina remains the #2 state in the nation to do business!https://twitter.com/Forbes/status/798915032079802368 …	#2
I toured hurricane-damaged @CityOfFayNC neighborhoods with @FayHabitat and local elected officials. http://bit.ly/2geJdcW  #MatthewNCpic.twitter.com/7DwvHBlXfz	#MatthewNCpic
#Veterans having issues with the #VA, please make sure the next call you make is to my office: http://bit.ly/2fA3Rkt pic.twitter.com/GTVQiY2pl6	#Veterans #VA
Saddened to hear about the passing of @gwenifill. She was a dedicated journalist and true professional.https://twitter.com/wsoctv/status/798245392982933504 …	
Please keep the families of the U.S. troops and contractors killed, and the individuals injured in Bagram in your thoughts and prayers.https://twitter.com/ArmyTimes/status/797465231677124608 …	
My op-ed in @StarNewsOnline: Veterans care still must be improved http://bit.ly/2fJ8taR  #VeteransDay	#VeteransDay
Honored to be @CityOfFayNC for a Wreath Laying @ Blue Star Memorial Hwy. Thanks to the veterans who joined us for your service. #VeteransDaypic.twitter.com/4A84UawfIJ	#VeteransDaypic
Because of those willing to lay down their lives to protect our freedoms, we live in the greatest nation. Thank you, veterans. #VeteransDaypic.twitter.com/ZhbyJXdwWb	#VeteransDaypic
Happy Birthday, @USMC! NC is the proud home to @camp_lejeune & @MCASCPPA. Thank you for your service. #HappyBirthdayMarines #SemperFipic.twitter.com/NVx8bORgDp	#HappyBirthdayMarines #SemperFipic
Congrats @realDonaldTrump @mike_pence and leaders in NC and across the nation. My statement on #Election2016 http://bit.ly/2ekLdzX  #ncpolpic.twitter.com/tbGOSb1qZL	#Election2016 #ncpolpic
Make your voice heard. Get out and vote. #ElectionDay	#ElectionDay
Thanks for returning home to give back to your fellow North Carolinians, @TG3II. #MatthewNC http://bit.ly/2fsOryR  via @WBTV_Newshttps://twitter.com/TG3II/status/792792956193288192 …	#MatthewNC
Happy 98th Birthday, @BillyGraham! #HBD	#HBD
Terribly saddened by the passing of Warren Judge. He was a champion for Dare County and the Outer Banks. http://www.wcti12.com/news/nc-house-district-6-candidate-passes-away/144860407 … #ncpol	#ncpol
Love watching the @Charlotte49erFB dominate on the road against a good So. Miss team! #RockSolid	#RockSolid
We’re blessed to live in a state with amazing military families and nearly a million residents who served our nation in uniform.https://twitter.com/tpowellabc11/status/794923526042030080 …	
Susan and I are deeply saddened to hear two Special Forces soldiers were killed in Afghanistan, including Capt. A. Byers of Rolesville, NC.pic.twitter.com/GOwkxrYP8v	
#Hospice is a covered benefit for all eligible Medicare patients. Learn about your options during #HospiceMonth #hpm http://moments.nhpco.org/options pic.twitter.com/u3klfnMy54	#Hospice #HospiceMonth #hpm
Praying for the families of the police officers tragically killed in Iowa and the entire law enforcement community.	
Welcome to NC, @POTUS. I hope you'll explain to NC families why they have higher premiums & fewer choices under #Obamacare. #ObamacareFail	#Obamacare #ObamacareFail
#HappyHalloween from our little trick-or-treaters 23 years ago! pic.twitter.com/lN3H4o9vCx	#HappyHalloween
. @SenatorBurr's Op-ed: #Obamacare is imploding. The Patient CARE Act offers commonsense patient-focused reforms. http://bit.ly/2eP62mA 	#Obamacare
Don't be a victim of an IRS impersonation scam. Visit http://bit.ly/2fbPfLL  for a list of actions the IRS will NEVER do.https://twitter.com/Forbes/status/791697473895034880 …	
Congratulations to @ncatsuaggies student @dlblanding on being selected as a 2016-17 @NationalFFA Officer. #ncag #TransformFFAhttps://twitter.com/NationalFFA/status/789910955811414016 …	#ncag #TransformFFAhttps
Since #Obamacare became law in 2014, there has been an 86% premium increase for North Carolinians. http://bit.ly/2eGlkss https://twitter.com/USATODAY/status/790674002855333888 …	#Obamacare
Join me in honoring the men and women in uniform, and their families, for their service and sacrifice to our country. #DayOfTheDeployedpic.twitter.com/MKL0xhubzw	#DayOfTheDeployedpic
#Obamacare is broken. Let's implement a commonsense solution that will result in higher quality #healthcare, more choices, and lower costs.https://twitter.com/CNNMoney/status/790833276063801344 …	#Obamacare #healthcare
Visited the #USO of @RDUAirport. I'm grateful that service members, #veterans & their families have this available to them while traveling.pic.twitter.com/r1zFo5sexJ	#USO #veterans
Last week, I joined @RedCross volunteers to help with #MatthewNC disaster relief. Thanks to all who volunteered to help North Carolinians.pic.twitter.com/GHeSSMg1uV	#MatthewNC
Join me to honor and remember the U.S. servicemembers who lost their lives in the Beirut barracks bombings on October 23, 1983.pic.twitter.com/iroMFKpfnB	
In the #GOP Weekly Address, I focused on the continuing consequences of #Obamacare and its impact on NC families. http://bit.ly/2eEdOwZ pic.twitter.com/EOkhNFnsrX	#GOP #Obamacare
Read my op-ed in @TIME about my fight to right the wrongs of our nations past and compensate the victims of state-run eugenics programs.https://twitter.com/TIME/status/788781764810530816 …	
How much more evidence do we need? We must repeal and replace #Obamacare.https://twitter.com/newsobserver/status/788323993963130880 …	#Obamacare
The “quid pro quo” arrangement proposed by a @StateDept official to reclassify Hillary Clinton’s emails is incredibly disturbing.https://twitter.com/thehill/status/788106825040293888 …	
Go to http://tillis.senate.gov  for more information about applying for aid from @fema. #MatthewAftermathpic.twitter.com/xvNUCFHSlQ	#MatthewAftermathpic
Go to http://tillis.senate.gov  for any questions you might have in the aftermath of Hurricane Matthew. #MatthewNCpic.twitter.com/9IBrTIsxk1	#MatthewNCpic
After a flood, mold can grow in your house and make you sick. Please read these tips on keeping you and your family healthy. #MatthewNCpic.twitter.com/d4CJSmmwJy	#MatthewNCpic
I toured NC earlier this week to see the aftermath of Hurricane Matthew. I will do everything I can to ensure NC gets the relief we need.pic.twitter.com/k3PgTSnozt	
We must repeal and replace #Obamacare. We cannot continue to hurt everyday Americans with unaffordable insurance.	#Obamacare
Read my op-ed from @fayobserver: Take advantage of aid for flood damage. http://bit.ly/2dyV1lm  #MatthewAftermathpic.twitter.com/PuDzZEm5qg	#MatthewAftermathpic
Great news, thank you to all those who are working to get power restored to the affected areas. #MatthewNChttps://twitter.com/NCEmergency/status/786554727756685313 …	#MatthewNChttps
Susan and I will be praying for all those affected by this devastating storm. Images of the damage in our beautiful state are heartbreaking.	
As of 7:00am, there have been 2,276 total rescues in NC. Thank you to the brave men and women who have risked their lives to save others.	
If you would like to give help with the recovery, donations are being accepted at http://www.ncdisasterrelief.org/  or or text NCRECOVERS to 30306.	
While the recovery continues, many parts of NC are still dealing with major flooding. #MatthewNC https://twitter.com/GovOfficeNC/status/786242948312633344 …	#MatthewNC
Go to http://www.tillis.senate.gov  to learn more about requesting federal aid. https://twitter.com/GovOfficeNC/status/785996228983005184 …	
Upon returning home, make sure you and your family are safe with these tips from @fema.pic.twitter.com/XDIrizPUbC	
Important information below. My office will be releasing additional information in the coming days.https://twitter.com/fema/status/785842960193687552 …	
This is nothing short of incredible. Thank you @NCNationalGuard, @NCSHP, and @uscoastguard for your endless work to help those in need. https://twitter.com/GovOfficeNC/status/785832850239041536 …	
My office will be doing everything necessary to assist @GovOfficeNC and make sure North Carolinians get the relief they need. #MatthewNC https://twitter.com/GovOfficeNC/status/785830074922565634 …	#MatthewNC
Heartbreaking news. Conditions are still dangerous in many parts of NC, please stay safe.https://twitter.com/WNCN/status/785829818973773824 …	
Please drive safely. @NCDOT advises that if you encounter a flooded roadway, turn around and seek an alternate route. #MatthewNC	#MatthewNC
Call 211 if you are in a disaster area and need information about shelters, food, water and evacuations. #MatthewNC	#MatthewNC
The funding will help local & state governments augment the costs of the #HurricaneMatthew response and help pay for recovery efforts.	#HurricaneMatthew
President Obama has approved @PatMcCroryNC’s request for expedited federal disaster assistance for #HurricaneMatthew.	#HurricaneMatthew
Download the ReadyNC mobile app to get up to date info on road conditions, evacuations and shelters. #MatthewNC	#MatthewNC
.@GovOfficeNC: "I cannot emphasize this enough, if you see a flooded road, turn around, do not drive through it.” http://governor.nc.gov/press-release/governor-mccrory-warns-life-threatening-flooding-aftermath-hurricane-matthew …	
.@GovOfficeNC: “Greatest threat to life is rivers flooding in coming days. Listen to local officials & take evacuation orders seriously.”	
State & local officials are encouraging everyone experiencing power outages to follow food safety tips: https://www.ncdps.gov/press-release/state-and-local-officials-encourage-food-safety-precautions-power-outages-north … #MatthewNC	#MatthewNC
NC farmers needing help with the impacts of #MatthewNC should call the Ag Disaster Hotline at 1-866-645-9403.	#MatthewNC
You can report power outages and downed lines and poles for your specific service area: https://www.tillis.senate.gov/public/index.cfm/newsletter?ID=2B59B2AE-B976-442B-9BCC-1AE5549CC6F3 … #MatthewNC	#MatthewNC
Please drive safely. @NCDOT advises that if you encounter a flooded roadway, turn around and seek an alternate route. #MatthewNC	#MatthewNC
Thank you to the local & state first responders who are working around the clock to keep North Carolinians safe. #MatthewNC	#MatthewNC
If you’re a Duke customer, click here to view the outage map and report power outages: http://outagemap.duke-energy.com/ncsc/default.html … #MatthewNC	#MatthewNC
Please put your safety first. Important alerts about highway closures: http://tims.ncdot.gov/tims/default.aspx … #MatthewNC	#MatthewNC
#FAYETTEVILLE: Continued flooding danger is significant. For emergencies call 911 immediately. Call 910-677-5509 for non-emergencies.	#FAYETTEVILLE
If you’re a Duke customer, report power outages & electrical emergencies. Duke Carolinas: 800-769-3766. Duke Energy Progress: 800-419-6356	
Flash floods are incredibly dangerous. If you have a life-threatening emergency, call 911 immediately. #MatthewNC	#MatthewNC
Evacuation orders for Greenville. #MatthewNChttps://twitter.com/GreenvilleGov/status/785217784917688324 …	#MatthewNChttps
Any NC farmer needing help with the impacts of #MatthewNC should call the Ag Disaster Hotline at 1-866-645-9403.	#MatthewNC
Important food & water safety tips from @ncdhhs.https://twitter.com/ncdhhs/status/785178389183393792 …	
Extended flood warnings in Wake, Harnett, Johnston, Wayne, Franklin, Wilson & Nash Counties. If you have an emergency, call 911 #MatthewNC	#MatthewNC
There will be prolonged flooding from #HurricaneMatthew that can be life threatening. Please call 911 if you have an emergency.	#HurricaneMatthew
NC’s first responders are doing an amazing job and saving lives.https://twitter.com/DHurstWNCN/status/785104487715311616 …	
Please stay off the roads. #HurricaneMatthew https://twitter.com/GovOfficeNC/status/784917456016052225 …	#HurricaneMatthew
Visit the following link for emergency and power outage contacts in NC: https://outreach.senate.gov/iqextranet/view_newsletter.aspx?id=102564&c=TTillis … #HurricaneMatthew	#HurricaneMatthew
